video_id,text,start,duration,lang
H2m2qOlhfxs,Kind: captions Language: en,0.0,1.0,en
H2m2qOlhfxs,[Music],1.0,1.0,en
H2m2qOlhfxs,home<00:00:03.480><c> mortgage</c><00:00:03.919><c> loans</c><00:00:04.279><c> are</c><00:00:04.520><c> financial</c>,2.0,1.0,en
H2m2qOlhfxs,home mortgage loans are financial,3.0,1.0,en
H2m2qOlhfxs,home mortgage loans are financial instruments<00:00:05.680><c> that</c><00:00:05.839><c> allow</c><00:00:06.200><c> individuals</c><00:00:06.839><c> to</c>,4.0,1.0,en
H2m2qOlhfxs,instruments that allow individuals to,5.0,1.0,en
H2m2qOlhfxs,instruments that allow individuals to purchase<00:00:07.359><c> a</c><00:00:07.480><c> home</c><00:00:07.759><c> without</c><00:00:08.120><c> paying</c><00:00:08.360><c> the</c><00:00:08.480><c> full</c>,6.0,1.0,en
H2m2qOlhfxs,purchase a home without paying the full,7.0,1.0,en
H2m2qOlhfxs,purchase a home without paying the full price<00:00:09.360><c> upfront</c><00:00:10.360><c> instead</c><00:00:11.280><c> borrowers</c><00:00:11.880><c> secure</c><00:00:12.240><c> a</c>,8.0,1.0,en
H2m2qOlhfxs,price upfront instead borrowers secure a,9.0,1.0,en
H2m2qOlhfxs,price upfront instead borrowers secure a loan<00:00:12.599><c> from</c><00:00:12.759><c> A</c><00:00:12.880><c> lender</c><00:00:13.719><c> such</c><00:00:13.880><c> as</c><00:00:14.000><c> a</c><00:00:14.200><c> bank</c><00:00:14.480><c> or</c>,10.0,1.0,en
H2m2qOlhfxs,loan from A lender such as a bank or,11.0,1.0,en
H2m2qOlhfxs,loan from A lender such as a bank or mortgage<00:00:15.120><c> company</c><00:00:15.879><c> and</c><00:00:16.080><c> repay</c><00:00:16.440><c> it</c><00:00:16.640><c> over</c><00:00:16.920><c> time</c>,12.0,1.0,en
H2m2qOlhfxs,mortgage company and repay it over time,13.0,1.0,en
H2m2qOlhfxs,mortgage company and repay it over time with<00:00:17.560><c> interest</c><00:00:18.560><c> mortgages</c><00:00:19.160><c> make</c>,14.0,1.0,en
H2m2qOlhfxs,with interest mortgages make,15.0,1.0,en
H2m2qOlhfxs,with interest mortgages make homeownership<00:00:20.039><c> more</c><00:00:20.320><c> accessible</c><00:00:20.880><c> by</c>,16.0,1.0,en
H2m2qOlhfxs,homeownership more accessible by,17.0,1.0,en
H2m2qOlhfxs,homeownership more accessible by spreading<00:00:21.480><c> payments</c><00:00:21.880><c> over</c><00:00:22.160><c> several</c><00:00:22.560><c> years</c>,18.0,1.0,en
H2m2qOlhfxs,spreading payments over several years,19.0,1.0,en
H2m2qOlhfxs,spreading payments over several years typically<00:00:23.560><c> ranging</c><00:00:24.039><c> from</c><00:00:24.279><c> 15</c><00:00:24.640><c> to</c><00:00:24.840><c> 30</c>,20.0,1.0,en
H2m2qOlhfxs,years<00:00:29.080><c> the</c><00:00:29.240><c> ability</c><00:00:29.560><c> to</c><00:00:29.720><c> find</c><00:00:30.000><c> finance</c><00:00:30.279><c> a</c><00:00:30.400><c> home</c>,21.0,1.0,en
H2m2qOlhfxs,years the ability to find finance a home,22.0,1.0,en
H2m2qOlhfxs,years the ability to find finance a home purchase<00:00:31.039><c> through</c><00:00:31.199><c> a</c><00:00:31.279><c> mortgage</c><00:00:31.800><c> is</c><00:00:31.920><c> one</c><00:00:32.040><c> of</c>,23.0,1.0,en
H2m2qOlhfxs,purchase through a mortgage is one of,24.0,1.0,en
