video_id,text,start,duration,lang,normalized_text
H2m2qOlhfxs,kind captions language en,0.0,1.0,en,kind captions language en
H2m2qOlhfxs,music,1.0,1.0,en,music
H2m2qOlhfxs,home mortgage loans are financial,2.0,1.0,en,home mortgage loans financial
H2m2qOlhfxs,home mortgage loans are financial,3.0,1.0,en,home mortgage loans financial
H2m2qOlhfxs,home mortgage loans are financial instruments that allow individuals to,4.0,1.0,en,home mortgage loans financial instruments allow individuals
H2m2qOlhfxs,instruments that allow individuals to,5.0,1.0,en,instruments allow individuals
H2m2qOlhfxs,instruments that allow individuals to purchase a home without paying the full,6.0,1.0,en,instruments allow individuals purchase home without paying full
H2m2qOlhfxs,purchase a home without paying the full,7.0,1.0,en,purchase home without paying full
H2m2qOlhfxs,purchase a home without paying the full price upfront instead borrowers secure a,8.0,1.0,en,purchase home without paying full price upfront instead borrowers secure
H2m2qOlhfxs,price upfront instead borrowers secure a,9.0,1.0,en,price upfront instead borrowers secure
H2m2qOlhfxs,price upfront instead borrowers secure a loan from a lender such as a bank or,10.0,1.0,en,price upfront instead borrowers secure loan lender bank
H2m2qOlhfxs,loan from a lender such as a bank or,11.0,1.0,en,loan lender bank
H2m2qOlhfxs,loan from a lender such as a bank or mortgage company and repay it over time,12.0,1.0,en,loan lender bank mortgage company repay time
H2m2qOlhfxs,mortgage company and repay it over time,13.0,1.0,en,mortgage company repay time
H2m2qOlhfxs,mortgage company and repay it over time with interest mortgages make,14.0,1.0,en,mortgage company repay time interest mortgages make
H2m2qOlhfxs,with interest mortgages make,15.0,1.0,en,interest mortgages make
H2m2qOlhfxs,with interest mortgages make homeownership more accessible by,16.0,1.0,en,interest mortgages make homeownership accessible
H2m2qOlhfxs,homeownership more accessible by,17.0,1.0,en,homeownership accessible
H2m2qOlhfxs,homeownership more accessible by spreading payments over several years,18.0,1.0,en,homeownership accessible spreading payments several years
H2m2qOlhfxs,spreading payments over several years,19.0,1.0,en,spreading payments several years
H2m2qOlhfxs,spreading payments over several years typically ranging from to,20.0,1.0,en,spreading payments several years typically ranging
H2m2qOlhfxs,years the ability to find finance a home,21.0,1.0,en,years ability find finance home
H2m2qOlhfxs,years the ability to find finance a home,22.0,1.0,en,years ability find finance home
H2m2qOlhfxs,years the ability to find finance a home purchase through a mortgage is one of,23.0,1.0,en,years ability find finance home purchase mortgage one
H2m2qOlhfxs,purchase through a mortgage is one of,24.0,1.0,en,purchase mortgage one
H2m2qOlhfxs,purchase through a mortgage is one of the most significant advantages of,25.0,1.0,en,purchase mortgage one significant advantages
